,title,id,price,location,mileage,year,fuel_type,transmission,body type,color,doors,engine_size,co2_transmission,review_count,rating
354,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
355,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
356,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
357,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
358,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
359,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
360,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
361,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
362,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
363,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
364,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
365,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
366,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
367,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
368,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
369,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
370,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
371,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
372,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
373,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
374,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
375,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
376,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
377,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
378,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
379,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
380,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
381,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
382,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
383,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
384,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
385,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
386,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
387,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
388,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
389,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
390,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
391,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
392,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
393,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
394,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
395,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
396,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
397,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
398,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
399,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
400,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
401,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
402,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
403,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
404,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
405,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
406,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
407,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
408,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
409,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
410,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
411,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
412,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
413,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
414,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
415,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
416,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
417,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
418,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
419,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
420,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
421,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
422,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
423,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
424,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
425,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
426,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
427,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
428,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
429,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
430,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
431,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
432,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
433,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
434,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
435,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
436,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
437,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
438,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
439,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
440,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
441,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
442,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
443,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
444,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
445,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
446,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
447,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
448,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
449,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
450,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
451,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
452,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
453,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
454,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
455,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
456,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
457,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
458,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
459,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
460,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
461,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
462,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
463,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
464,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
465,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
466,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
467,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
468,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
469,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
470,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
471,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
472,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
473,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
474,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
475,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
476,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
477,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
478,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
479,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
480,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
481,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
482,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
483,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
484,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
485,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
486,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
487,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
488,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
489,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
490,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
491,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
492,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
493,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
494,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
495,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
496,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
497,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
498,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
499,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
500,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
501,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
502,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
503,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
504,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
505,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
506,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
507,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
508,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
509,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
510,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
511,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
512,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
513,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
514,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
515,Kia Sportage,1126691,"19,350",Bristol Street Motors Ford Birmingham,"14,877",2016,Diesel,Automatic,Estate,Black,5,2.0 L,166 g/km,45,4.5
516,Audi A3,1127497,"19,450",Bristol Street Motors Ford Birmingham,"23,150",2018,Petrol,Manual,Hatchback,Grey,5,1.0 L,118 g/km,76,4.5
517,Ford Puma,1130754,"21,150",Bristol Street Motors Ford Birmingham,"10,184",2021,Petrol,Manual,Hatchback,Blue,5,1.0 L,127 g/km,9,4.0
518,Ford Puma,1131259,"21,700",Bristol Street Motors Ford Birmingham,"23,661",2021,Petrol,Automatic,Hatchback,Desert island blue (exclusive paint),5,1.0 L,139 g/km,9,4.0
